q_gl,well_1,well_2,well_3,well_4
0,0,0,0,0
25,0,0,0,0
50,0,0,0,0
75,0,0,0,0
100,0,0,0,0
125,0,0,0,0
150,0,0,0,0
175,0,0,0,0
200,0,80,0,0
225,0,162.5,0,0
250,0,186.42,0,0
275,0,200.71,0,0
300,0,210,300,0
325,0,216.11,432.5,0
350,0,219.95,477.13,0
375,0,222.08,507.31,0
400,0,222.84,530,40
425,0,222.5,547.91,245
450,0,221.23,562.42,303.55
475,0,219.16,574.36,338.01
500,0,216.41,584.26,360
525,0,213.06,592.5,374.02
550,0,209.17,599.34,382.37
575,0,204.8,604.99,386.44
600,350,200,609.62,387.11
625,392.5,194.81,613.33,385
650,405.71,189.26,616.25,380.57
675,414.1,183.39,618.45,374.16
700,420,177.21,620,366.03
725,424.3,170.76,620.97,356.39
750,427.47,164.04,621.4,345.41
775,429.79,157.08,621.33,333.25
800,431.42,149.9,620.82,320
825,432.5,142.5,619.89,305.78
850,433.11,134.9,618.56,290.66
875,433.33,127.12,616.87,274.72
900,433.21,119.15,614.85,258.03
925,432.78,111.02,612.5,240.64
950,432.08,102.72,609.85,222.6
975,431.15,94.28,606.92,203.96
1000,430,85.69,603.73,184.74
